dist_x_LFPaw_x_LFWrist,dist_x_LFWrist_x_LFElbow,dist_x_LFElbow_x_LRPaw,dist_x_LRPaw_x_LRWrist,dist_x_LRWrist_x_LRElbow,dist_x_LRElbow_x_RFPaw,dist_x_RFPaw_x_RFWrist,dist_x_RFWrist_x_RFElbow,dist_x_RFElbow_x_RBPaw,dist_x_RBPaw_x_RBWrist,dist_x_RBWrist_x_RBElbow,dist_x_RBElbow_x_TailSet,dist_x_TailSet_x_TailTip,dist_x_TailTip_x_LBEar,dist_x_LBEar_x_LREar,dist_x_LREar_x_Nose,dist_x_Nose_x_Chin,dist_x_Chin_x_LTEar,dist_x_LTEar_x_RTEar,dist_x_RTEar_x_LEye,dist_x_LEye_x_REye,dist_x_REye_x_Withers,dist_x_Withers_x_Throat,trial
40.77444187,67.7551038,239.2884487,48.16449611,77.76033172,207.5352681,36.28037278,61.17272775,205.3993271,45.45157012,32.64877116,128.6872861,151.3330379,487.0976003,34.78191931,101.2337572,37.93857754,44.38614412,119.6809793,144.2420292,25.28324287,129.7970632,72.85203188,abandonment
41.41799051,74.11357114,236.5925057,40.8635525,54.30734946,148.1186031,31.93396978,34.2891893,316.9185654,47.26609771,93.51017057,73.39984982,231.8914667,566.9467851,44.54198707,122.1474582,55.22641794,63.98548089,95.4375668,100.4358604,29.51405809,168.27279,98.26371402,abandonment
38.90171198,57.32853735,276.4165024,45.88502301,63.27248084,138.2538574,34.4498551,52.16919872,249.3982448,36.75361042,73.60515502,58.7711979,196.975672,555.9915581,46.55438979,113.8954626,50.10190662,52.28803026,482.8196568,507.8596614,29.94607549,146.5658052,84.73270352,abandonment
38.06369949,58.04826639,274.1249386,50.55636092,59.4824567,137.7182038,33.17910893,47.40920579,246.6102198,39.39512946,81.16900191,45.25345696,187.5476877,545.3642197,43.4947411,109.4159989,48.25429677,49.96512365,484.0957119,508.5718895,27.28842887,142.8369799,83.31805725,abandonment
38.06369949,58.04826639,274.1249386,50.55636092,59.4824567,137.7182038,33.17910893,47.40920579,246.6102198,39.39512946,81.16900191,45.25345696,187.5476877,545.3642197,43.4947411,109.4159989,48.25429677,49.96512365,484.0957119,508.5718895,27.28842887,142.8369799,83.31805725,abandonment
37.60258743,58.51738902,279.681416,53.6562877,75.31035722,125.994064,33.83999519,50.12070501,254.7387625,39.14865908,84.63674338,45.05261183,183.7908096,553.3937253,46.20342365,112.1857247,49.18925475,50.55776223,493.4802195,518.2510345,30.87365824,156.4926212,87.05284481,abandonment
35.3746338,52.93353438,264.9436862,51.85506862,76.00643973,123.6858542,40.72718018,36.8583592,251.2222209,43.23565129,64.36584002,49.78401511,162.6882528,521.377049,45.72458754,111.4748317,53.0099234,38.54719952,472.8737953,503.0406401,28.2989817,145.0389396,82.96136852,abandonment
34.35169993,48.84090872,263.1106525,49.95242011,77.53038566,128.9379461,41.29654891,32.0858042,250.8051349,45.74093597,68.90838918,46.34548221,154.2201349,519.2933902,44.2126997,109.4022348,53.5740088,33.67302017,471.1886677,499.6475229,30.84711968,147.9368197,96.16223921,abandonment
42.20330878,58.5990667,289.5586247,47.29334155,80.39608622,128.4840741,32.8872958,59.97242575,264.9650229,27.17931111,88.09494893,51.53426785,176.7110755,525.8162938,76.52453995,33.31843838,18.86557686,126.120101,1.577152451,38.91857266,53.79028087,109.6639446,55.27478073,abandonment
41.89895026,56.44971908,289.1233811,50.44506032,79.6175658,130.1703795,32.69387811,59.2202899,253.9562582,28.00134163,79.46700149,50.75583393,167.1566946,516.9215042,74.45008571,110.8168673,15.83767667,35.1145856,99.96097709,69.05250816,21.66015866,114.9228296,57.90410799,abandonment
